longitude,count
-118.1898534,18
-118.2198046,18
-118.1921115,18
-118.1629143,18
-118.1662106,18
-118.180992,18
-118.2016557,17
-118.1643207,17
-118.1939325,17
-118.1533454,17
-118.1720107,17
-118.1839304,17
-118.178528,17
-118.1937243,17
-118.1337091,17
-118.1937322,17
-118.1587358,17
-118.1861087,17
-118.1678543,17
-118.1888545,17
-118.1788917,16
-118.1622607,16
-118.1957094,16
-118.1910031,16
-118.167336,16
-118.1910896,16
-118.1958891,16
-118.1745633,16
-118.118042,16
-118.1804227,16
-118.1686415,16
-118.2155323,16
-118.1469114,16
-118.1800438,16
-118.1796068,16
-118.1046737,16
-118.1815696,16
-118.1730593,16
-118.1440174,16
-118.2143806,16
-118.2056244,16
-118.1959194,16
-118.1948227,16
-118.208731,16
-118.0855751,16
-118.1681285,16
-118.1993823,16
-118.1963506,16
-118.1241089,16
-118.1882327,16
-118.1852385,16
-118.1792128,16
-118.1870385,15
-118.1825488,15
-118.1934587,15
-118.181797,15
-118.1965873,15
-118.1867049,15
-118.1810999,15
-118.0866199,15
-118.1655497,15
-118.1248632,15
-118.1621182,15
-118.1769279,15
-118.0906996,15
-118.1790948,15
-118.1791202,15
-118.0766751,15
-118.1714025,15
-118.1409751,15
-118.1826302,15
-118.183915,15
-118.1950649,15
-118.2028305,15
-118.1934701,15
-118.1866858,15
-118.1980605,15
-118.1684263,15
-118.1478799,15
-118.2143687,15
-118.1676517,15
-118.1936361,15
-118.1950967,15
-118.1847844,15
-118.1773043,15
-118.1744299,15
-118.1943313,15
-118.0647871,15
-118.1359098,15
-118.1633188,15
-118.1709214,15
-118.1794906,15
-118.1553992,14
-118.2174525,14
-118.1969244,14
-118.0781202,14
-118.0991267,14
-118.0565802,14
-118.1963571,14
-118.2006138,14
-118.1993904,14
-118.1643953,14
-118.1555746,14
-118.0873521,14
-118.1774167,14
-118.1546083,14
-118.1821623,14
-118.1760129,14
-118.1567601,14
-118.1534984,14
-118.1324114,14
-118.1905446,14
-118.1950695,14
-118.1654866,14
-118.2153909,14
-118.1676819,14
-118.1963742,14
-118.1351588,14
-118.1247341,14
-118.177087,14
-118.2037409,14
-118.1914453,14
-118.1676141,14
-118.0990898,14
-118.1736336,14
-118.1524148,14
-118.2028352,14
-118.2004619,14
-118.1825909,14
-118.106014,14
-118.1805306,14
-118.1923877,14
-118.1933559,14
-118.1207944,14
-118.1936188,14
-118.1704594,14
-118.1719973,14
-118.0421088,14
-118.0742464,13
-118.2174145,13
-118.167313,13
-118.1953974,13
-118.1586484,13
-118.1250933,13
-118.1974135,13
-118.1818753,13
-118.1696368,13
-118.196966,13
-118.1682656,13
-118.113365,13
-118.1663845,13
-118.1916165,13
-118.1771093,13
-118.2234229,13
-118.1969724,13
-118.192202,13
-118.1894505,13
-118.1936514,13
-118.1839964,13
-118.1923925,13
-118.1555363,13
-118.1923967,13
-118.0636169,13
-118.2027924,13
-118.138669,13
-118.1410485,13
-118.180699,13
-118.1866897,13
-118.1797301,13
-118.1777235,13
-118.1775378,13
-118.2187782,13
-118.1443554,13
-118.1864855,13
-118.1784991,13
-118.1697891,13
-118.1937121,13
-118.1880416,13
-118.1788553,13
-118.1740015,13
-118.1761722,13
-118.1730926,13
-118.163843,13
-118.1720108,13
-118.2088979,13
-118.1556777,13
-118.0989271,13
-118.1763283,13
-118.1615507,13
-118.1971124,13
-118.0623233,13
-118.215178,13
-118.1977281,13
-118.1883076,13
-118.1905774,13
-118.2210926,13
-118.1652834,13
-118.1980407,13
-118.1915809,13
-118.1601,13
-118.1751043,13
-118.1837492,13
-118.1934664,13
-118.1772499,13
-118.1361091,13
