geopoint,count
"33.8745209, -118.1561696",10
"33.7717204, -118.1698399",10
"33.8221473, -118.1850249",10
"33.7882842, -118.153327",10
"33.8835502, -118.102303",10
"33.8829524, -118.0459199",10
"33.8224087, -118.0761684",10
"33.8190281, -118.1066806",10
"33.8597022, -118.0697289",9
"33.8229525, -118.1026929",9
"33.7880459, -118.1578473",9
"33.7880461, -118.1662014",9
"33.8117153, -118.1848997",9
"33.8321936, -118.1078304",9
"33.7646777, -118.1723105",9
"33.8473188, -118.1910137",9
"33.8009652, -118.1847037",9
"33.802557, -118.191637",9
"33.768099, -118.1502585",9
"33.7898583, -118.1784179",9
"33.77897, -118.1644041",9
"33.8674614, -118.1917489",9
"33.800755, -118.1784908",9
"33.7876107, -118.0718872",9
"33.845175, -118.1848809",9
"33.8747449, -118.1599811",9
"33.8600986, -118.1820236",9
"33.8543014, -118.189831",9
"33.7862476, -118.1567097",9
"33.7881471, -118.1718914",9
"33.81080120000001, -118.2155321",9
"33.770513, -118.1836978",9
"33.780366, -118.1960828",9
"33.7789751, -118.1676648",9
"33.8241941, -118.2127498",9
"33.9218667, -118.1125242",9
"33.7682433, -118.1380748",9
"33.7777598, -118.1950735",9
"33.7898492, -118.1567736",9
"33.7802206, -118.1933799",9
"33.8243209, -118.0809266",9
"33.7753542, -118.1936623",9
"33.8776835, -118.205613",9
"33.7753464, -118.1963531",9
"33.7571472, -118.1984284",9
"33.7683335, -118.1576793",9
"33.8575938, -118.188399",9
"33.8683019, -118.1685405",9
"33.8766478, -118.1599949",9
"33.8777154, -118.2005778",9
"33.795765, -118.1496876",9
"33.8782719, -118.1697648",9
"33.7717443, -118.1946848",9
"33.7667642, -118.1771283",9
"33.7681145, -118.1606091",9
"33.8544698, -118.0925349",9
"33.7769262, -118.1779436",9
"33.8836359, -118.1858352",9
"33.7708071, -118.1764044",9
"33.7772373, -118.1763736",9
"33.8696134, -118.0536298",9
"33.7772119, -118.1567933",9
"33.7683175, -118.1519938",9
"33.8270906, -118.1671685",9
"33.8550492, -118.0996162",9
"33.8577462, -118.06323",9
"33.861679, -118.0580844",9
"33.796092, -118.1481139",9
"33.8062541, -118.1719761",9
"33.8116308, -118.1980839",9
"33.8701166, -118.1664314",9
"33.7927789, -118.2205443",9
"33.7952991, -118.1936676",9
"33.8634376, -118.1939327",9
"33.8027342, -118.2021574",9
"33.8524233, -118.1898056",9
"33.791681, -118.2138392",9
"33.8081718, -118.1977749",9
"33.8070298, -118.1108963",9
"33.8099033, -118.1801038",9
"33.83215089999999, -118.1938143",9
"33.8877434, -118.055386",9
"33.8484172, -118.1916511",9
"33.8116492, -118.1980837",9
"33.781478, -118.1806515",9
"33.7668778, -118.1968437",9
"33.7608344, -118.1964809",9
"33.8106458, -118.0964297",9
"33.7715589, -118.1626884",9
"33.7717185, -118.1963919",9
"33.7972764, -118.1956509",9
"33.7701119, -118.1708561",9
"33.8851121, -118.1810028",9
"33.8500611, -118.1771567",9
"33.7898585, -118.1806444",9
"33.816764, -118.1075857",9
"33.8141133, -118.0718271",9
"33.7836668, -118.1826146",9
"33.7857717, -118.1880058",9
"33.8502152, -118.1756748",9
"33.8190678, -118.1771168",9
"33.8035067, -118.186167",9
"33.7677147, -118.1676334",9
"33.8619277, -118.1810448",9
"33.8581153, -118.1829916",9
"33.858271, -118.1799079",9
"33.8583996, -118.1856923",9
"33.8709883, -118.1782904",9
"33.765281, -118.1663126",9
"33.7823364, -118.1663818",9
"33.7953329, -118.2024246",9
"33.7807837, -118.1665866",9
"33.7729155, -118.198042",9
"33.7935022, -118.1969826",9
"33.880114, -118.0486283",9
"33.865533, -118.181071",9
"33.8575614, -118.1929113",9
"33.7732029, -118.1114646",9
"33.8044612, -118.1959093",9
"33.8642847, -118.1555967",9
"33.864244, -118.1685205",9
"33.8638903, -118.1808106",9
"33.787883, -118.1993823",9
"33.861878, -118.1850399",9
"33.8717969, -118.2003705",9
"33.7939966, -118.1719841",9
"33.8638449, -118.1827764",9
"33.7989463, -118.1839301",9
"33.784524, -118.1707881",9
"33.7824207, -118.1621182",9
"33.7918307, -118.1920571",9
"33.8783524, -118.2071499",9
"33.8686475, -118.151255",9
"33.8738774, -118.1567337",9
"33.8722847, -118.2020598",9
"33.8745273, -118.1773731",8
"33.766221, -118.1831334",8
"33.8041643, -118.2005304",8
"33.87931990000001, -118.2027041",8
"33.8479379, -118.0762413",8
"33.7972736, -118.2162783",8
"33.8782836, -118.1686501",8
"33.7753824, -118.1008648",8
"33.77536140000001, -118.1836955",8
"33.8007419, -118.1839345",8
"33.8115302, -118.1843074",8
"33.8023657, -118.2121994",8
"33.7861092, -118.1621578",8
"33.8644555, -118.1769933",8
"33.7839343, -118.1981017",8
"33.7836558, -118.1813385",8
"33.8515666, -118.183889",8
"33.8742626, -118.0797581",8
"33.7862405, -118.1763459",8
"33.8673452, -118.1773329",8
"33.7817988, -118.1563933",8
"33.7598458, -118.1471029",8
"33.8818211, -118.1848995",8
"33.8815637, -118.1774187",8
"33.7884281, -118.0953772",8
"33.8627879, -118.1680059",8
"33.8621088, -118.1471234",8
"33.8172708, -118.1772007",8
"33.8619785, -118.1705731",8
"33.771713, -118.1747276",8
"33.829186, -118.1730434",8
"33.8611671, -118.0543555",8
"33.8524782, -118.1693854",8
"33.7916726, -118.1599963",8
"33.8593433, -118.1598381",8
"33.7641946, -118.1696368",8
"33.8475627, -118.170144",8
"33.81062900000001, -118.0928129",8
"33.8642311, -118.1705682",8
"33.86556180000001, -118.1859598",8
"33.8657939, -118.1770332",8
"33.867659, -118.1818377",8
"33.8692185, -118.1685528",8
"33.7845803, -118.1696625",8
"33.858212, -118.1750779",8
"33.8313054, -118.0868387",8
"33.7807783, -118.1654866",8
"33.780895, -118.1805488",8
"33.7504342, -118.1898491",8
"33.8132203, -118.1950956",8
"33.7697544, -118.1717618",8
"33.7682648, -118.1615211",8
"33.7807883, -118.1622286",8
"33.7862925, -118.2200672",8
"33.795323, -118.1861084",8
"33.8712725, -118.2005122",8
"33.8044434, -118.214375",8
"33.8684263, -118.0943542",8
"33.8004095, -118.0559202",8
"33.7949268, -118.1387952",8
"33.7865512, -118.1983208",8
"33.8685019, -118.048573",8
"33.8113851, -118.1197749",8
"33.7839899, -118.2172863",8
"33.8546389, -118.1943384",8
"33.8169288, -118.0778623",8
"33.7765571, -118.1963539",8
"33.8222378, -118.201282",8
"33.8729906, -118.0397845",8
"33.8626532, -118.0391773",8
"33.7880565, -118.1741938",8
"33.808372, -118.1177742",8
"33.8096099, -118.1076044",8
"33.8727919, -118.1761903",8
"33.789362, -118.1828009",8
"33.7765456, -118.2006039",8
"33.7767174, -118.1763641",8
"33.7918766, -118.164179",8
"33.8534207, -118.0634501",8
"33.8047722, -118.1932188",8
"33.778649, -118.18109",8
"33.7896885, -118.2031448",8
"33.8780523, -118.1760391",8
"33.8679596, -118.1911548",8
"33.8753713, -118.1791659",8
"33.7959519, -118.1783433",8
"33.8114398, -118.2166137",8
"33.8489323, -118.1987915",8
"33.8506105, -118.1982119",8
"33.7882486, -118.1296941",8
"33.7874942, -118.1730582",8
"33.8271694, -118.2133215",8
"33.8148151, -118.2130965",8
"33.8267055, -118.1849579",8
"33.793484, -118.1850201",8
"33.8600765, -118.1850241",8
"33.8505045, -118.1848556",8
"33.7415317, -118.1941785",8
"33.8826041, -118.1022998",8
"33.7789716, -118.1863682",8
"33.7803089, -118.1947956",8
"33.8702764, -118.0636738",8
"33.8729561, -118.0407857",8
"33.8062598, -118.1741667",8
"33.868301, -118.1708507",8
"33.8671586, -118.1704594",8
"33.7971209, -118.1948039",8
"33.7823404, -118.1983267",8
"33.8542884, -118.194809",8
"33.8683992, -118.1537079",8
"33.7913853, -118.1359881",8
"33.7728177, -118.1193275",8
"33.8612727, -118.15247",8
"33.8526036, -118.1839438",8
"33.8518912, -118.1783699",8
"33.810419, -118.0719428",8
"33.7623687, -118.1470038",8
"33.7789749, -118.1937493",8
"33.7753416, -118.1938053",8
"33.788042, -118.1676407",8
"33.8542721, -118.1984946",8
"33.8797998, -118.1020948",8
"33.7974261, -118.1934124",8
"33.8225052, -118.2213059",8
"33.824267, -118.2212124",8
"33.8081747, -118.1934008",8
"33.7961616, -118.117919",8
"33.8727877, -118.1811005",8
"33.8728681, -118.1685819",8
"33.8099414, -118.190922",8
"33.7684106, -118.1846501",8
"33.8133577, -118.1920244",8
"33.7996711, -118.1923808",8
"33.812501, -118.192098",8
"33.8041045, -118.1555799",8
"33.8190198, -118.2152086",8
"33.8689566, -118.1908733",8
"33.7934938, -118.1981016",8
"33.7941359, -118.175966",8
