,animal_id,animal_name
4063,A515233,CINNAMON2
4176,A698158,STRAY 3
4177,A698157,STRAY 2
4614,A647034,BABY 3
4617,A647032,BABY 1
4644,A740005,KITTEN 2
4901,A657092,KAYLAH 6
4953,A742376,STEARNS 5
4954,A742372,STEARNS 4
4969,A739544,KITTEN 2
5019,A707028,PUPPY3
5276,A740493,KITTEN 1
5285,A652967,2
5286,A652976,5
5288,A652964,5
5289,A652966,1
5393,A717286,KITTEN 2
5394,A717288,KITTEN 4
5414,A740666,KITTEN 3
5603,A612993,KITTEN 2
5604,A612992,KITTEN 1
5663,A739266,KITTEN 2
5983,A636348,636348*CINDY LOU WHO
5985,A634112,*THING 1
5986,A634150,*THING 32
5987,A634149,*THING 31
5989,A634108,WHT/BRN TAB #2
5990,A634124,*THING 10
5991,A634136,*THING 18
5993,A634142,*THING 25
5994,A634147,*THING 29
6150,A684538,CHICKEN10
6151,A684539,CHICKEN11
6152,A684545,CHICKEN17
6277,A738433,KITTEN 5
6311,A738776,KITTEN 3
6312,A738774,KITTEN 1
6314,A738777,KITTEN 4
6560,A677436,ATLANTIC CAT 1
6573,A665843,*KKATLANTIC7
6574,A665840,KKATLANTIC4
6580,A628414,628414
6661,A699700,PUP 4
6662,A699704,PUP 8
6705,A738924,KITTEN 4
6706,A738922,KITTEN 2
6793,A699214,STRAY2
6813,A712297,PUPPY 7
6826,A740842,KITTEN 2
6888,A717689,KITTEN 2
7188,A741720,KITTEN 3
7197,A701849,*LEWIS KITTEN 1
7236,A644292,DOG #3 CASPER
7240,A644291,DOG #5
7247,A695247,*ORI KITTEN 1
7250,A695248,*ORI KITTEN 2
7251,A695249,*ORI KITTEN 3
7264,A680896,KTTN3
7341,A706473,BLK KITTEN 2
7379,A606702,GUNIEA #2
7510,A733917,TURTLE 1
7558,A692734,*PUP 1
7559,A692738,*PUP 4
7628,A664960,KITTEN 2
7629,A664959,KITTEN 1
7678,A694601,BABY 7
7780,A655920,GREY 2
7781,A655919,GREY 1
7878,A699119,STRAY 3
