animal_id,animal_name
A695248,*ORI KITTEN 2
A695249,*ORI KITTEN 3
A680896,KTTN3
A634392,A634392
A633855,A633855*JIMMY
A706473,BLK KITTEN 2
A628760,A628760*GOYA
A606702,GUNIEA #2
A639225,A639225
A733917,TURTLE 1
A692734,*PUP 1
A692738,*PUP 4
A664960,KITTEN 2
A664959,KITTEN 1
A694601,BABY 7
A645509,A645509
A655920,GREY 2
A655919,GREY 1
A628464,A628464*JIMMY
A634889,A634889*MRS.SOUL
A699119,STRAY 3
A656928,A656928
A634843,A634843*MR.SOUL
A672723,FALCON 3
A630455,A630455*DUDE
A630103,A630103*ONION
A740375,BABY #2
A652341,A652341*PEBBLES
A631950,A631950*KELSEY
A741235,KITTEN 3
A741234,KITTEN 2
A740853,OPOSSUM 6
A740855,OPOSSUM 8
A740849,OPOSSUM 2
A740856,OPOSSUM 9
A694809,*DESTINY KITTY 1
A694811,*DESTINY KITTY 3
A631384,A631384*JC CHASEZ
A695647,*METZ 2
A695650,*METZ 5
A695653,*METZ 8
A650458,A650458
A628947,A628947*CEE
A631228,A631228*SHANIA
A660009,BABY 3
A682704,BABY3
A633226,A633226
A628134,628134
A646549,A646549
A640472,A640472
A681737,KITTEN4
A639279,#2
A741624,KITTEN 6
A741620,KITTEN 2
A741625,KITTEN 7
A629987,A629987*GEE
A637055,A637055
A701197,PINK1
A628159,A628159*JEMMIE
A627670,627670
A738616,KITTEN 4
A742455,AQUARIUS 2
A650265,A650265
A653775,KITTEN 3
A642826,A642826
A629539,A629539*GATOR
A647165,A647165
A704441,P1
A695758,*CASPIAN 1
A727163,CAT 8
A685024,*OLIVE 2
A634385,A634385*ZIGGLE
A702789,KITTEN 1
A712407,PUPPY 3
A712410,PUPPY 5
A651190,A651190
A627335,A627335*LACY
A702900,KITTEN 3
A702902,KITTEN 5
A680820,POSSUM2
A680826,POSSUM6
A632395,A632395*WENDY
A691110,*PASADENA 5
A744237,DUCK 3
A698454,PUPPY MALTESE2
A638453,#1
A638456,#2
A627236,A627236*LAYLA
A738927,KITTEN 5
A738921,KITTEN 1
A694732,TWIN 1
A638369,A638369
A733948,UNKNOWN 1
A712293,PUPPY 3
A712291,PUPPY 1
A712292,PUPPY 2
A712296,PUPPY 6
A740838,KITTEN 5
A740843,KITTEN 3
A717690,KITTEN 3
A644675,A644675
A638481,A638481*JANUARY
A633524,A633524*GINA
A738617,KITTEN 1
A634275,A634275*NESTER
A741718,KITTEN 1
A741721,KITTEN 4
A701852,*LEWIS KITTEN 4
A701850,*LEWIS KITTEN 2
A701851,*LEWIS KITTEN 3
A712496,PUPPY 1
A612431,CAT 2
A701859,*ATLANTIC CAT 1
A741243,KITTEN 1
A680893,KTTN1
A699148,STRAY 1
A712637,PUPPY4
A712638,PUPPY5
A712640,PUPPY7
A712639,PUPPY6
A628495,A628495*JELLY
A628499,A628499*SALT
A654154,A654154*KANG
A606701,GUINEA #1
A628220,A628220 CATNESS
A646459,A646459
A646453,A646453
A655363,A655363
A650217,A650217*JETHRO
A639105,A639105*MIGHTY MOUSE
A634755,A634755*CEENA
A650268,A650268
A579036,RASCAL #2
A657093,KAYLAH 5
A657094,KAYLAH 4
A664961,KITTEN 3
A664962,KITTEN 4
A635386,A635386*LILAC
A742365,STEARNS 1
A742370,STEARNS 3
A699744,*REBS KITTEN 2
A655923,GREY 4
A655921,GREY 3
A632383,A632383*CAT DAMON
A639136,A639136 *TANGO
A639202,A639202
A741497,DUCK 1
A652969,4
A652968,3
A652961,2
A652962,3
A652970,5
A652973,2
A630652,A630652*AHCH
A639629,A639629 *GRIZZO
A717285,KITTEN 1
A717287,KITTEN 3
A598995,KITTEN #2
A637922,BABY CAT 4
A740377,BABY #4
A635832,A635832
A629382,A629382*JULIA
A640752,A640752
A741237,KITTEN 5
A638112,A638112*MAC
A741233,KITTEN 1
A741236,KITTEN 4
A584794,LINDEN 6 LB
A670266,*MYRTLE7
A740857,OPOSSUM 10
A740852,OPOSSUM 5
A626743,A626743*JOEY
A646479,A646479
A694810,*DESTINY KITTY 2
A670242,*WESLEY1
A675994,*WESLEY7
A636314,A636314 *ARTHUR
A695649,*METZ 4
A695646,*METZ 1
A741590,KITTEN 2
A629382,A629382*JULIA
A646083,A646083
A740864,KITTEN 3
A633213,A633213
A682703,BABY2
A627912,A627912*GILBERT
A629461,A629461*CATALINA
A637702,A637702
A634120,*THING 6
A634143,*THING 26
A634132,*THING 15
A634139,*THING 21
A634123,*THING 9
A634110,BLACK MOM #2
A634138,*THING 20
A741619,KITTEN 1
A673741,*GARDENIA 2
A633224,A633224*PURFECT
